,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
68,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,Diploma in Social Legislations,1 year,Full time,,Diploma,,,Any Graduate who has passed Graduation from any recognized University in India or a foreign university approved by Govt. of India is eligible to seek admission in Diploma Course.,"Diploma in Social Legislations is one-year's full-time course in the law field. it is offered by Bharati Vidyapeeth, Pune."
69,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,Diploma in foreign investment law,1 year,Full time,,Diploma,,,Any Graduate who has passed Graduation from any recognized University in India or a foreign university approved by Govt. of India is eligible to seek admission in Diploma Course.,"Diploma in foreign investment law is one-year's full-time course in the law field. it is offered by Bharati Vidyapeeth, Pune."
70,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,LLB,3 years,Full time,180,UG,0.6 lakhs,(BCI) Bar Council of India,"The applicant shall have passed the Bachelor’s Degree in any of the faculties of any recognized university or an examination recognized as equivalent there to and have obtained 45% of the total marks in case of general category and 40% of the total marks in case of SC & ST applicant. The maximum age for seeking admission into stream of 3 years bachelor degree course in law is limited to 30 years in general category and in case of SC, ST and other backward class applicant it is limited to 35 years.","LLB is three-years full-time course offered by Bharati Vidyapeeth, Pune and approved by Bar Council of India."
71,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,LLM One Year,1 year,Full time,80,PG,1.5 lakhs,(BCI) Bar Council of India,The applicant shall have obtained LL.B. degree of any university recognized by UGC with atleast 50% marks or equivalent grade (45% for SC/ST candidates),"Master of Laws (LL.M.) is Duration of one year (two Semesters) program offered by Bharati Vidyapeeth, Pune with the approval of Bar Council of India."
72,"Bharati Vidyapeeth Deemed University, New Law College, Pune",Pune,Maharashtra,LLM Two Year,2 years,Full time,80,PG,1.6 lakhs,(BCI) Bar Council of India,The applicant shall have obtained LL.B. degree of any university recognized by UGC with at least 50% marks or equivalent grade (45% for SC/ST candidates),"Master of Laws (LL.M.) is Duration of two years (four Semesters) program offered by Bharati Vidyapeeth, Pune with the approval of Bar Council of India."
73,"JECRC University, Jaipur",Jaipur,Rajasthan,BA LLB Integrated Hons,5 years,Full time,60,UG,3.6 lakhs,UGC,Minimum 50% Marks in 10+2 examination from CBSE or equivalent.,"Bachelor of Arts and Bachelor of Laws Integrated Honours is full time five year course degree offered by JECRC University, Jaipur and approved by UGC and BCI."
74,"JECRC University, Jaipur",Jaipur,Rajasthan,LLB,3 years,Full time,60,UG,1.8 lakhs,UGC,Minimum 50% Marks in Bachelor Degree of three year duration from a UGC recognised Univ,"Bachelor of Laws is full time three year course degree offered by JECRC University, Jaipur and approved by UGC and BCI."
75,"Siksha 'O' Anusandhan, Bhubaneswar",Bhubaneshwar,Odisha,BA LLB Integrated,5 years,Full time,,UG,4.9 lakhs,UGC,"A Pass or appearing (2018) the 10+2 or equivalent in any stream with at least 45% marks. Relaxable to 40% in case of SC/ST and 42% in case OBC. There is no upper age limit at present, however it is subjected to the decision of the Hon’ble Supreme Court of India and BCI notification in this regard.","BA LLB is five-years full-time Integrated course offered by Siksha O Anusandhan University, Bhubaneshwar and approved by BCI."
76,"Siksha 'O' Anusandhan, Bhubaneswar",Bhubaneshwar,Odisha,LLM,2 years,Full time,,PG,1.03 lakhs,UGC,"Pass or appearing 2018 Bachelor degree in Law or studied Integrated Law courses or the equivalent thereof, from any recognized university.","Master of Laws (LL.M.) is Duration of 1 years (2 Semesters) program offered by Siksha O Anusandhan University, Bhubaneshwar with the approval of UGC."
77,"Chanakya National Law University, Patna",Patna,Bihar,BA LLB Hons,5 years,Full time,60,UG,6.43 lakhs,UGC,A candidate for admission to this course shall have passed the PUC / 10+2 years of schooling recognized by the educational authorities of the central or state government or possess such academic qualifications which are considered equivalent to such 10+2 courses by the Bar Council of India.,"BA LLB is five-years full-time honors integrated course offered by Chanakya National Law University, Patna and approved by Bar Council of India and University Grand Commission."
78,"Chanakya National Law University, Patna",Patna,Bihar,BBA LLB Hons,5 years,Full time,60,UG,6.43 lakhs,UGC,A candidate for admission to this course shall have passed the PUC / 10+2 years of schooling recognized by the educational authorities of the central or state government or posses such academic qualifications which are considered equivalent to such 10+2 courses by the Bar Council of India..,"BBA LLB is five-years full-time honors integrated course offered by Chanakya National Law University, Patna and approved by Bar Council of India and University Grand Commission."
79,"KR Mangalam University, Gurgaon",Sohna,Haryana,BA LLB Hons Integrated,5 years,Full time,120,UG,7 lakhs,(BCI) Bar Council of India,He/She should have passed the 10+2 examination in Commerce or Science conducted by Central Board of Secondary Education or equivalent examination from a recognized board with an overall aggregate of 50%.,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by KR Mangalam University, Gurgaon with the approval of BCI"
80,"KR Mangalam University, Gurgaon",Sohna,Haryana,LLB Hons,3 years,Full time,60,UG,4.2 lakhs,(BCI) Bar Council of India,The Candidate should have completed A degree from a recognized university with a minimum score of 50% in aggregate.,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program offered by KR Mangalam University, Gurgaon with the approva"
81,"KR Mangalam University, Gurgaon",Sohna,Haryana,LLM,1 year,Full time,30,PG,1.3 lakhs,UGC,He/She should have passed the LL.B from a recognized University with not less than 50% marks or equivalent in aggregate.,"Master of Laws (LL.M.) is Duration of one year (two Semesters) program offered by KR Mangalam University, Gurgaon with the appro"
82,"National University of Study and Research in Law, Ranchi",Ranchi,Jharkhand,BA LLB Hons,5 years,Full time,120,UG,10.35 lakhs,(BCI) Bar Council of India,Candidate must have passed 10+2 with minimum 45% marks from recognized board,"BA LLB Hons is full time five year integrated degree course, recognized by Bar Council of India"
83,"National University of Study and Research in Law, Ranchi",Ranchi,Jharkhand,LLM,1 year,Full time,20,PG,1.55 lakhs,(BCI) Bar Council of India,Candidate must have passed LLB/BA LLB or any other equivalent exam with minimum 55% marks,Masters in Law is full time one year course
84,"Gujarat University, Ahmedabad",Ahmedabad,Gujarat,Master of Labour Welfare,2 years,Full time,36,PG,,UGC,Graduate (Eligibility norms are governed by state government GR),"The department of Labour Welfare was established as part of school of social sciences to offer a unique interdisciplinary
course of master of Labour welfare (MLW) in 1958. The MLW course is an interdisciplinary course, designed in such away that it
has inputs from various social sciences, Law and Management disciplines. It started as a Diploma programme & was ...See More"
85,"Maharashtra National Law University, Mumbai",Mumbai,Maharashtra,BA LLB Hons,5 years,Full time,50,UG,7.94 lakhs,UGC,The candidate should have passed in 10+2 or its equivalent from any recognized Board / College.,"BA LLB is five-years full-time honors course offered by Guru Maharashtra National Law University, Mumbai and approved by UGC"
