,place_id,sublocality_level_1,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,sublocality_level_2,route,point_of_interest,street_number,neighborhood,premise,subpremise,sublocality_level_3,postal_town,natural_feature,floor,administrative_area_level_3,postal_code_suffix,post_box,political,administrative_area_level_4
1992,ChIJR8gOk8TV0jsR2XyrI3SPSto,Tukum,Chandrapur,Chandrapur,Maharashtra,India,442401,Jairaj Nagar,Tukum Road,,,,,,,,,,,,,,
1993,ChIJh3E_jHp_1DsRN8ReV6lyIuc,Borgaon Meghe,Borgaon,Wardha,Maharashtra,India,442001,,Wardha-Waigaon Road,,,,,,,,,,,,,,
1994,ChIJo8CdU23W0jsR4nARPFfz1FM,,Lonara,Chandrapur,Maharashtra,India,442902,,,,,,,,,,,,,,,,
1995,ChIJCW9VKnsbLToRFvbGfUtM5fM,Teachers Colony,Chamorshi,Gadchiroli,Maharashtra,India,442603,,Mul-Chamorshi Highway,,,Ganesh Nagar,,,,,,,,,,,
1996,ChIJPW1LUobA1DsRqR_lqY_S_Xo,Bajaj Nagar,Nagpur,Nagpur,Maharashtra,India,440010,,,,,,,,,,,,,,,,
1997,ChIJ0dczMwPG1DsRZYHEzS7aeWU,Gautam Colony,Kamptee,Nagpur,Maharashtra,India,441002,,,,,,,,,,,,,,,,
1998,ChIJJWym31MtLToR_nrxhRB7oI4,,Chandrapur,Chandrapur,Maharashtra,India,442901,,,,,,,,,,,,,,,,
1999,ChIJDUgANPND1DsRW-Vp4bbN89Y,,Karanja (Ghadge),Wardha,Maharashtra,India,442203,,Asian Highway 46,,,,,,,,,,,,,,
2000,ChIJ0bj4EcDA1DsRws7R73B_h6E,Nandanvan,Nagpur,Nagpur,Maharashtra,India,440009,New Nandavan,,,,,,310B,,,,,,,,,
2001,ChIJVVVVVeTp1DsRpgfXHO69MXA,,Nagpur,Nagpur,Maharashtra,India,441501,,,,,,,,,,,,,,,,
2002,ChIJDbFZTRbB1DsRxDQaGtvcZic,Jaripatka,Nagpur,Nagpur,Maharashtra,India,440014,Mouza Mankapur,CMPDI Road,,,Near CMPDI,,Plot No: 1 & 2,,,,,,,,,
2003,ChIJ-dURBOE3KzoRn9C7aCUd6pE,,Bhandara,Bhandara,Maharashtra,India,441906,,,,,,,,,,,,,,,,
2004,ChIJPWla4DOzLDoRbWKCq3XTZRw,,Chandrapur,Chandrapur,Maharashtra,India,442903,,,,,,,,,,,,,,,,
