"instrumentation & control engineering","instrumentation & control engineering","instrumentation & control engineering","instrumentation & control engineering"
"it","it","it","it"
"structural","structural","structural","structural"
"production","production","production","production"
"it & computer","it & computer","it & computer","it & computer"
"professional","professional","professional","professional"
"medical lab science","medical lab science","medical lab science","medical lab science"
"p'cology","p'cology","p'cology","p'cology"
"p'ceutics","p'ceutics","p'ceutics","p'ceutics"
"electronics and communication","electronics and communication","electronics and communication","electronics and communication"
"electrical engineeing","electrical engineeing","electrical engineeing","electrical engineeing"
"general","general","general","general"
"airlines tourism hospitality  and management","airlines tourism hospitality  and management","airlines tourism hospitality  and management","airlines tourism hospitality  and management"
"computer science & engg.","computer science & engg.","computer science & engg.","computer science & engg."
"electrical engg.","electrical engg.","electrical engg.","electrical engg."
"cad/cam 1st shift","cad/cam 1st shift","cad/cam 1st shift","cad/cam 1st shift"
"ece 1st shift","ece 1st shift","ece 1st shift","ece 1st shift"
"production engg","production engg","production engg","production engg"
"cad/cam 2nd shift","cad/cam 2nd shift","cad/cam 2nd shift","cad/cam 2nd shift"
"ece 2nd shift","ece 2nd shift","ece 2nd shift","ece 2nd shift"
"ee [pt]","ee [pt]","ee  pt","ee -pt"
"civil","civil","civil","civil"
"mechanical","mechanical","mechanical","mechanical"
"m.b.a","m.b.a","m.b.a","m.b.a"
"c.s.e","c.s.e","c.s.e","c.s.e"
"m.e","m.e","m.e","m.e"
"e.c.e","e.c.e","e.c.e","e.c.e"
"e.e","e.e","e.e","e.e"
"airline and hotel management","airline and hotel management","airline and hotel management","airline and hotel management"
"ame","ame","ame","ame"
"micro","micro","micro","micro"
"eee","eee","eee","eee"
"pharmaceutic","pharmaceutic","pharmaceutic","pharmaceutic"
"pharmaceuticalchemistry","pharmaceuticalchemistry","pharmaceuticalchemistry","pharmaceuticalchemistry"
"elce","elce","elce","elce"
"bachelor of management studies [health, spa and resort management]","bachelor of management studies [health, spa and resort management]","bachelor of management studies  health, spa and resort management","bachelor of management studies -health, spa and resort management"
"bachelor of management studies [media, entertainment and film technology]","bachelor of management studies [media, entertainment and film technology]","bachelor of management studies  media, entertainment and film technology","bachelor of management studies -media, entertainment and film technology"
"bachelor of management studies [rural development]","bachelor of management studies [rural development]","bachelor of management studies  rural development","bachelor of management studies -rural development"
"bachelor of management studies [mobile computing and internet]","bachelor of management studies [mobile computing and internet]","bachelor of management studies  mobile computing and internet","bachelor of management studies -mobile computing and internet"
"bachelor of managment studies [service industry management]","bachelor of managment studies [service industry management]","bachelor of managment studies  service industry management","bachelor of managment studies -service industry management"
"master of management studies [airlines, tourism and hospitality]","master of management studies [airlines, tourism and hospitality]","master of management studies  airlines, tourism and hospitality","master of management studies -airlines, tourism and hospitality"
"master of mass communication and media management","master of mass communication and media management","master of mass communication and media management","master of mass communication and media management"
"master of  management studies [service industry]","master of  management studies [service industry]","master of  management studies  service industry","master of  management studies -service industry"
"master of management studies [education and counselling management]","master of management studies [education and counselling management]","master of management studies  education and counselling management","master of management studies -education and counselling management"
"bachelor  management studies [airlines, tourism and hospitality]","bachelor  management studies [airlines, tourism and hospitality]","bachelor  management studies  airlines, tourism and hospitality","bachelor  management studies -airlines, tourism and hospitality"
"master in business administration","master in business administration","master in business administration","master in business administration"
"computer science engineering","computer science engineering","computer science engineering","computer science engineering"
"electronics and communication engineering","electronics and communication engineering","electronics and communication engineering","electronics and communication engineering"
"co education","co education","co education","co education"
"computer subject","computer subject","computer subject","computer subject"
"pharmaceutics-full time","pharmaceutics-full time","pharmaceutics-full time","pharmaceutics-full time"
"applied physics","applied physics","applied physics","applied physics"
"computer science and engineering","computer science and engineering","computer science and engineering","computer science and engineering"
"thermal","thermal","thermal","thermal"
"chemical engineering","chemical engineering","chemical engineering","chemical engineering"
"computer it","computer it","computer it","computer it"
"civil engg","civil engg","civil engg","civil engg"
"hotel magt. &  catering  tech.","hotel magt. &  catering  tech.","hotel magt. &  catering  tech.","hotel magt. &  catering  tech."
"airline tourism & hospitality mngt.","airline tourism & hospitality mngt.","airline tourism & hospitality mngt.","airline tourism & hospitality mngt."
"b.sc.agriculture","b.sc.agriculture","b.sc.agriculture","b.sc.agriculture"
"electrical","electrical","electrical","electrical"
"businness","businness","businness","businness"
"business","business","business","business"
"mechnical","mechnical","mechnical","mechnical"
"electronics","electronics","electronics","electronics"
"b.com [professional]","b.com [professional]","b.com  professional","b.com -professional"
"m.sc. math","m.sc. math","m.sc. math","m.sc. math"
"pharmachemistry","pharmachemistry","pharmachemistry","pharmachemistry"
