,1,6,cid,name
3693,C32771,BA & KR Degree College,C32771,B.A & K.R Degree College
3694,C32774,Sriji Degree College,C32774,Sriji Degree College
3695,C32776,Dr. Jayapradamba Degree College,C32776,Dr. Jayapradamba Degree College
3696,C32777,Geetham Degree College,C32777,Geetham Degree College
3697,C32778,APRDC,C32778,A.P.Residential Degree College
3698,C32778,Andhra Pradesh Residential Degree College,C32778,A.P.Residential Degree College
3699,C32779,Bapatla College Of Arts and Science,C32779,Bapatla College of Arts & Science
3700,C32781,The Pedanandipadu College of Arts & Sciences,C32781,Pedanandipadu College of Arts and Sciences
3701,C32782,Career Degree College,C32782,Career Degree College
3702,C32788,SIMS College Of Nursing,C32788,SIMS College of Pharmacy
3703,C32790,Drnscvs Degree College,C32790,D.R.N.S.C.V.S. College
3704,C32791,Trident College of Marine Technology,C32791,TCMT College
3705,C32792,AC College Of Law,C32792,A.C.College of Law
3706,C32793,Acharya N.G Ranga College of Education,C32793,Acharya N.G.Ranga College of Education
3707,C32797,Alpha Degree College,C32797,Alpha Degree College
3708,C32798,Hindu College Of Pharmacy,C32798,Hindu College of Pharmacy
3709,C32803,Bandlamudi Hanumayamma Womens College,C32803,B.H.H Degree College for Women
3710,C32804,Don Bosco PG College,C32804,Don Bosco College (P.G.)
3711,C32805,SVKP Degree College,C32805,S.V.K.P. Degree College
3712,C32806,Repalle Christian College of Education,C32806,Repalle Christian College
3713,C32809,H.M.K.S. & M.G.S. Memorial College of Education,C32809,H.M.K.S. & M.G.S. Memorial College of Education
3714,C32810,S V R M College,C32810,S.V.R.M. College
3715,C32812,JMJ College for Women,C32812,J.M.J. College for Women
3716,C32815,Jagarlamudi Chandramouli College Of Law,C32815,J.C. College of Law
3717,C32817,D.S.GOVT. DEGREE COLLEGE,C32817,"D.S.Govt. Degree College for Women, Ongole"
3718,C32818,K.R.K. Govt. Degree College,C32818,K R K Govt. Degree College
3719,C32820,V.S.R&A.M Degree college,C32820,V.S.R. & A.M. Degree College
3720,C32821,Matrusri Oriental College,C32821,Matrusri Oriental College
