old with credits distance education,B.C.A (Old) (with Credits) - Distance Education,uc_d100390,c100160
principal management,Principal Of Management,uc_d100391,c100161
coputer,coputer,uc_d100392,c100162
becholer computer application,Becholer of computer application,uc_d100393,c100163
eng and tec,Eng & Tec,uc_d100394,c100164
science,sciece,uc_d100395,c100010
non medical,Non Medical,uc_d100396,c100165
it sub,All IT Sub,uc_d100397,c100166
computer application,Diploma In Computer  Application,uc_d100398,c100001
computer application,B C A,uc_d100399,c100001
pgdcs and a,PGDCS&A,uc_d100400,c100167
computer application,cs,uc_d100401,c100001
saurashtra,SAURASHTRA,uc_d100402,c100168
computer science and it,Computer Science & IT,uc_d100403,c100169
discipline 12th,Any Discipline 12TH,uc_d100404,c100170
c language dbms ne2rking pci photoshop visual basic fundamental etc,"C Language, DBMS,   Networking , PC-I, Photoshop, Visual Basic , Fundamental .etc",uc_d100405,c100171
computer application,Com. application,uc_d100406,c100001
computer application,compute appplications,uc_d100407,c100001
computer science and engineering,COMPUTER SCIENCE AND ENGINEERING,uc_d100408,c100061
pgdtm,PGDTM,uc_d100409,c100172
coputer,COPUTER,uc_d100410,c100162
computer,COMPUTERS (BP),uc_d100411,c100004
pgdca jul,PGDCA-JUL,uc_d100412,c100173
computer application,Computer App,uc_d100413,c100001
ca and it,CA & IT,uc_d100414,c100174
computer application,POST GRADUATE DIPLOMA IN COMPUTER APPLICATIONS,uc_d100415,c100001
computer apllications,COMPUTER APLLICATIONS,uc_d100416,c100175
animation,Animation,uc_d100417,c100176
fundamental pc pacakge english social science digital dbms advance c dtp hindi ds oracle c and and math english tally ipos java science science php linux e commerce,"fundamental,pc pacakge,english,social science,digital,dbms,advance c,dtp,hindi,ds,oracle,c++,math,english,tally,ip,os,java,sc,sc2,php,linux,e-commerce",uc_d100418,c100177
computer application,POST GRADUATE DIPLOMA IN COMPUTER APPLICATION,uc_d100419,c100001
bcca,BCCA,uc_d100420,c100178
dca,dca,uc_d100421,c100134
it and computer application,IT & Computer Application,uc_d100422,c100179
computer application,Diploma in Computer Applications,uc_d100423,c100001
computer,MSC COMP,uc_d100424,c100004
computer computer application,POST GRADUATE DIPLOMA IN COMPUTER IN COMPUTER APPLICATION,uc_d100425,c100180
computer science,COMPUTERS SCIENCE,uc_d100426,c100000
science,SCI,uc_d100427,c100010
computer application,COMPUTER  APPLICAITONS,uc_d100428,c100001
pgdca jan,PGDCA-JAN,uc_d100429,c100140
pgdca july,pgdca july,uc_d100430,c100181
computer application,POST GRADUATE DIPLOMA IN COMPUTER  APPLICATION,uc_d100431,c100001
computer application 60 each,Computer Applications(2Divisions-60 each),uc_d100432,c100182
computer application,computer Application,uc_d100433,c100001
computer application,3,uc_d100434,c100001
computer application,PG DIPLOMA,uc_d100435,c100001
