,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
12,"Pearl Academy, Mumbai",Mumbai,Maharashtra,Post Graduate Diploma in PR and Events,1 year,Full time,,Diploma,,,The candidate must be Graduate in any field.,"This program in PR and Events is a full-time program. The aim of the course is to provide holistic learning to students through a process driven by a blend of theoretical and practical experience to function, strategize and render services to the PR and event management industry. This program is designed to impart skills in practical aspects that include market/audien...See More"
13,"Pearl Academy, Mumbai",Mumbai,Maharashtra,UG Pathway Journalism and Mass Media,3 years,Full time,,UG,15.04 lakhs,,Candidate must be 10+2 in any discipline with minimum 50% marks.,"The 3 Year UG Pathway – in today’s rapidly expanding media that has unified the entire global community, there is a growing need for multi-skilled communicators. Journalism & Mass Media program helps students learn the importance of creating and contextualizing message for the masses and choose media platforms thoughtfully. This course offers a new age, design-bas...See More"
14,"DAV Centenary College, Faridabad",Faridabad,Haryana,BA Journalism and Mass Communication,3 years,Full time,60,UG,0.82 lakhs,UGC,The candidate should have passed in 10+2 pass with 45% aggregate.,"This is a full time three year course affiliated to Maharshi Dayanand University, Rohtak and approved by UGC."
15,"Potti Sreeramulu Telugu University, Hyderabad",Hyderabad,Telangana,MCJ,2 years,Full time,,PG,0.043 lakhs,UGC,The candidate should have passed in graduate degree.,Master in Communication Journalism is full time two year course approved by UGC.
16,"Potti Sreeramulu Telugu University, Hyderabad",Hyderabad,Telangana,PGD Film Direction,1 year,Full time,,Diploma,0.25 lakhs,UGC,The candidate should have passed in graduate degree.,Post Graduate Diploma in Film Direction is full time one year course approved by UGC.
17,"Dr GR Damodaran College of Science, Coimbatore",Coimbatore,Tamil Nadu,MJMC,2 years,Full time,,PG,,UGC,Graduation from any Recognized University with relevant subjects.,"Master of Journalism and Mass Communication is a two-year full-time program Degree Offered By Bharathiar University, Coimbatore and approved by UGC."
18,"Indira Gandhi National Tribal University, Amarkantak",Lalpur,Madhya Pradesh,BJMC,3 years,Full time,,UG,,UGC,Minimum eligibility 10+2 or equivalent.,Bachelor in Journalism and Mass Communication is full-time three-year course and approved by UGC.
19,"Indira Gandhi National Tribal University, Amarkantak",Lalpur,Madhya Pradesh,MJMC,2 years,Full time,,PG,,UGC,The candidate should have passed in graduate degree.,Master in Journalism and Mass Communication is full-time two-year course and approved by UGC.
20,"Ghanshyamdas Saraf College of Arts and Commerce, Mumbai",Mumbai,Maharashtra,Bachelor of Mass Media,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream,Bachelor of Mass Media is a three year full time course
21,"Ghanshyamdas Saraf College of Arts and Commerce, Mumbai",Mumbai,Maharashtra,MA Communication and Journalism,2 years,Full time,,PG,,UGC,The candidate should have passed in related BA,MA Communication and Journalism is a two year full time course
