"""B.P.S.-Bachelor of Professional Studies""","""B.P.S.-Bachelor of Professional Studies""","""B.P.S.""","""Bachelor of Professional Studies""","""BPS"""
"""M.A.M.S.-Master of Ayurved in Medicine and Surgery""","""M.A.M.S.-Master of Ayurved in Medicine and Surgery""","""M.A.M.S.""","""Master of Ayurved in Medicine and Surgery""","""MAMS"""
"""M.Sc.[Medical Bio-Chemistry]-Master of Science in Medical Bio-Chemistry""","""M.Sc.[Medical Bio-Chemistry]-Master of Science in Medical Bio-Chemistry""","""M.Sc.[Medical Bio""","""Chemistry]""","""MSc[Medical Bio"""
"""B.I.B.F.-Bachelor of International Business and Finance""","""B.I.B.F.-Bachelor of International Business and Finance""","""B.I.B.F.""","""Bachelor of International Business and Finance""","""BIBF"""
"""B.Litt.-Bachelor of Literature""","""B.Litt.-Bachelor of Literature""","""B.Litt.""","""Bachelor of Literature""","""BLitt"""
"""M.A. B.Ed.-Master of Arts, Bachelor of Education""","""M.A. B.Ed.-Master of Arts, Bachelor of Education""","""M.A. B.Ed.""","""Master of Arts, Bachelor of Education""","""MA BEd"""
"""B.Pharm.[Ayu.] -Bachelor of Ayurved in Pharmacy""","""B.Pharm.[Ayu.] -Bachelor of Ayurved in Pharmacy""","""B.Pharm.[Ayu.] ""","""Bachelor of Ayurved in Pharmacy""","""BPharm[Ayu] """
"""B.C.L.-Bachelor of Civil Law""","""B.C.L.-Bachelor of Civil Law""","""B.C.L.""","""Bachelor of Civil Law""","""BCL"""
"""M.Litt.-Master of Literature or Master of Letters""","""M.Litt.-Master of Literature or Master of Letters""","""M.Litt.""","""Master of Literature or Master of Letters""","""MLitt"""
"""B.Stat.-Bachelor of Statistics""","""B.Stat.-Bachelor of Statistics""","""B.Stat.""","""Bachelor of Statistics""","""BStat"""
"""B.H.A.-Bachelor of Hospital Administration""","""B.H.A.-Bachelor of Hospital Administration""","""B.H.A.""","""Bachelor of Hospital Administration""","""BHA"""
"""M.P.H. -Master of Public Health""","""M.P.H. -Master of Public Health""","""M.P.H. ""","""Master of Public Health""","""MPH """
"""M.V.Sc. -Master of Veterinary Sciences""","""M.V.Sc. -Master of Veterinary Sciences""","""M.V.Sc. ""","""Master of Veterinary Sciences""","""MVSc """
"""B.V.Sc.-Bachelor of Veterinary Science""","""B.V.Sc.-Bachelor of Veterinary Science""","""B.V.Sc.""","""Bachelor of Veterinary Science""","""BVSc"""
"""M.M.C.-Master in Mass Communication""","""M.M.C.-Master in Mass Communication""","""M.M.C.""","""Master in Mass Communication""","""MMC"""
"""B.Com. L.L.B.-Bachelor of Commerce, Bachelor of Law""","""B.Com. L.L.B.-Bachelor of Commerce, Bachelor of Law""","""B.Com. L.L.B.""","""Bachelor of Commerce, Bachelor of Law""","""BCom LLB"""
"""Shiksha Acharya-Shiksha Acharya""","""Shiksha Acharya-Shiksha Acharya""","""Shiksha Acharya""","""Shiksha Acharya""","""Shiksha Acharya"""
"""M.Sc. B.Ed.-Master of Science, Bachelor of Education""","""M.Sc. B.Ed.-Master of Science, Bachelor of Education""","""M.Sc. B.Ed.""","""Master of Science, Bachelor of Education""","""MSc BEd"""
"""M.Dance-Master of Dance""","""M.Dance-Master of Dance""","""M.Dance""","""Master of Dance""","""MDance"""
"""B.G.L.-Bachelor of General Law""","""B.G.L.-Bachelor of General Law""","""B.G.L.""","""Bachelor of General Law""","""BGL"""
"""M.L. -Master of Laws""","""M.L. -Master of Laws""","""M.L. ""","""Master of Laws""","""ML """
"""M.Mkt.M. -Master of Marketing Management""","""M.Mkt.M. -Master of Marketing Management""","""M.Mkt.M. ""","""Master of Marketing Management""","""MMktM """
"""Vidya Varidhi-Vidya Varidhi""","""Vidya Varidhi-Vidya Varidhi""","""Vidya Varidhi""","""Vidya Varidhi""","""Vidya Varidhi"""
"""M.F.M. -Master of Financial Management""","""M.F.M. -Master of Financial Management""","""M.F.M. ""","""Master of Financial Management""","""MFM """
"""Parangat-Parangat""","""Parangat-Parangat""","""Parangat""","""Parangat""","""Parangat"""
"""M.F.Sc. -Master of Fishery Science""","""M.F.Sc. -Master of Fishery Science""","""M.F.Sc. ""","""Master of Fishery Science""","""MFSc """
"""B.V.Sc.&A.H.-Bachelor of Veterinary Science & Animal Husbandry""","""B.V.Sc.&A.H.-Bachelor of Veterinary Science & Animal Husbandry""","""B.V.Sc.&A.H.""","""Bachelor of Veterinary Science & Animal Husbandry""","""BVSc&AH"""
"""M.P.E.-Master of Physical Education""","""M.P.E.-Master of Physical Education""","""M.P.E.""","""Master of Physical Education""","""MPE"""
"""M.Sc. Tech.[Applied Geo-Physics]-Master of Science in Technology [Applied Geo-Physics]""","""M.Sc. Tech.[Applied Geo-Physics]-Master of Science in Technology [Applied Geo-Physics]""","""M.Sc. Tech.[Applied Geo""","""Physics]""","""MSc Tech[Applied Geo"""
"""B.Tech M.Tech-Bachelor of Technology, Master of Technology""","""B.Tech M.Tech-Bachelor of Technology, Master of Technology""","""B.Tech M.Tech""","""Bachelor of Technology, Master of Technology""","""BTech MTech"""
"""B.O.L.-Bachelor of Oriental Learning""","""B.O.L.-Bachelor of Oriental Learning""","""B.O.L.""","""Bachelor of Oriental Learning""","""BOL"""
"""M.Sc.[Medical Anatomy] -Master of Science in Medical Anatomy""","""M.Sc.[Medical Anatomy] -Master of Science in Medical Anatomy""","""M.Sc.[Medical Anatomy] ""","""Master of Science in Medical Anatomy""","""MSc[Medical Anatomy] """
"""D.Litt.-Doctor of Literature""","""D.Litt.-Doctor of Literature""","""D.Litt.""","""Doctor of Literature""","""DLitt"""
"""M.Plan.-Master of Planning""","""M.Plan.-Master of Planning""","""M.Plan.""","""Master of Planning""","""MPlan"""
"""Integrated Ph.D-Integrated Doctor of Philosophy""","""Integrated Ph.D-Integrated Doctor of Philosophy""","""Integrated Ph.D""","""Integrated Doctor of Philosophy""","""Integrated PhD"""
"""B.C.E.-Bachelor of Civil Engineering""","""B.C.E.-Bachelor of Civil Engineering""","""B.C.E.""","""Bachelor of Civil Engineering""","""BCE"""
"""Vidya Vachaspati-Vidya Vachaspati""","""Vidya Vachaspati-Vidya Vachaspati""","""Vidya Vachaspati""","""Vidya Vachaspati""","""Vidya Vachaspati"""
