"""tiruvalla""","""tiruvalla"""
"""palai""","""palai"""
"""ta anand""","""ta anand"""
"""ramapuram""","""ramapuram"""
"""kaduthuruthy""","""kaduthuruthy"""
"""elanthur""","""elanthur"""
"""tripuinithura""","""tripuinithura"""
"""vallabh vidyanagar ta anand""","""vallabh vidyanagar ta anand"""
"""puthencruz""","""puthencruz"""
"""koothattukulam""","""koothattukulam"""
"""puttady""","""puttady"""
"""piramadom""","""piramadom"""
"""changanacherry pin""","""changanacherry pin"""
"""vagamon""","""vagamon"""
"""melukavumattom""","""melukavumattom"""
"""mallappally west""","""mallappally west"""
"""peerumadu""","""peerumadu"""
"""north paravoor""","""north paravoor"""
"""koovappally""","""koovappally"""
"""ranny""","""ranny"""
"""kolkata""","""kolkata"""
"""howrah""","""howrah"""
"""raidighi""","""raidighi"""
"""south  parganas""","""south  parganas"""
"""calcutta""","""calcutta"""
"""mogari""","""mogari"""
"""amtaii""","""amtaii"""
"""godhra""","""godhra"""
"""karamsad""","""karamsad"""
"""budge budge""","""budge budge"""
"""bagnan""","""bagnan"""
"""no""","""no"""
"""serampore""","""serampore"""
"""baruipur""","""baruipur"""
"""namkhana""","""namkhana"""
"""haora""","""haora"""
"""anand   ta  anand""","""anand   ta  anand"""
"""kakdwip""","""kakdwip"""
"""rajpur""","""rajpur"""
"""bhangankhali""","""bhangankhali"""
"""konnagar""","""konnagar"""
"""uttarpara""","""uttarpara"""
"""bally""","""bally"""
"""bhnagar""","""bhnagar"""
"""vallabh vidyanagar pin""","""vallabh vidyanagar pin"""
"""anand taluka  anand""","""anand taluka  anand"""
"""dakshin barasat""","""dakshin barasat"""
"""nil""","""nil"""
"""uluberia""","""uluberia"""
"""new vallabh vidyanagar""","""new vallabh vidyanagar"""
"""diamond harbour""","""diamond harbour"""
"""liluah""","""liluah"""
"""auraiya""","""auraiya"""
"""kanpur""","""kanpur"""
"""kanpur nagar""","""kanpur nagar"""
"""raibareli""","""raibareli"""
"""hardoi""","""hardoi"""
"""sitapur""","""sitapur"""
"""allahabad""","""allahabad"""
"""unnao""","""unnao"""
"""pukhrayan""","""pukhrayan"""
"""farrukhabad""","""farrukhabad"""
"""kannauj""","""kannauj"""
"""chhibramau""","""chhibramau"""
"""rae bareli""","""rae bareli"""
"""kanpur dehat""","""kanpur dehat"""
"""raebareli""","""raebareli"""
"""auriya""","""auriya"""
"""jahanganj""","""jahanganj"""
"""vallabh vidyanagar ta anand dist anand""","""vallabh vidyanagar ta anand dist anand"""
"""etawah""","""etawah"""
"""kanchaushi""","""kanchaushi"""
"""ananad""","""ananad"""
"""tehsil sandila""","""tehsil sandila"""
"""salon""","""salon"""
"""bilgram""","""bilgram"""
"""aligarh""","""aligarh"""
"""bharthana""","""bharthana"""
"""fatehpur""","""fatehpur"""
"""farrukhbad""","""farrukhbad"""
"""saurikh""","""saurikh"""
"""anand                     taluka anand""","""anand                     taluka anand"""
"""lakhimpur kheri""","""lakhimpur kheri"""
"""vallabh vidhyanagar ta anand""","""vallabh vidhyanagar ta anand"""
"""mangalpur derapur""","""mangalpur derapur"""
"""phaphund""","""phaphund"""
"""kaimganj farrukhabad""","""kaimganj farrukhabad"""
"""lalganj""","""lalganj"""
"""bidhuna""","""bidhuna"""
"""valasan""","""valasan"""
"""kaushambi""","""kaushambi"""
"""kaimganjpin""","""kaimganjpin"""
"""biswan""","""biswan"""
"""gola gokaran nath""","""gola gokaran nath"""
"""kaimganj""","""kaimganj"""
"""dibiyapur""","""dibiyapur"""
"""jhinjhak""","""jhinjhak"""
"""mallawan""","""mallawan"""
"""jhijhank""","""jhijhank"""
"""rasulabad""","""rasulabad"""
"""town sandi""","""town sandi"""
"""vallabh vidhyanagar anand""","""vallabh vidhyanagar anand"""
"""alllahabad""","""alllahabad"""
"""hargaon""","""hargaon"""
"""lakhimpurkheri""","""lakhimpurkheri"""
"""lakhimpur""","""lakhimpur"""
"""ganj muradabad""","""ganj muradabad"""
"""mahmoodabad""","""mahmoodabad"""
"""gausganj""","""gausganj"""
"""muzaffarnagar""","""muzaffarnagar"""
"""kapur""","""kapur"""
"""bakrol anand""","""bakrol anand"""
"""vallabh vidyanagar  taluka  anand""","""vallabh vidyanagar  taluka  anand"""
"""kuderkot district auraiya""","""kuderkot district auraiya"""
"""kayamganj""","""kayamganj"""
"""mahmudabad""","""mahmudabad"""
"""ajeetmal auraiya""","""ajeetmal auraiya"""
"""madhoganj""","""madhoganj"""
"""akbarpur""","""akbarpur"""
"""bangalore""","""bangalore"""
"""mohammadabad""","""mohammadabad"""
"""misrikh""","""misrikh"""
"""gaura""","""gaura"""
"""mangalore""","""mangalore"""
"""tambour""","""tambour"""
"""karkala taluk udupi district""","""karkala taluk udupi district"""
"""belthangady""","""belthangady"""
"""bengaluru""","""bengaluru"""
"""kasimpur""","""kasimpur"""
"""tumkur""","""tumkur"""
"""raichur""","""raichur"""
"""sikandra""","""sikandra"""
"""nagamangala""","""nagamangala"""
"""farukhabad""","""farukhabad"""
"""mysore""","""mysore"""
"""laharpur""","""laharpur"""
"""mohammdi kheri""","""mohammdi kheri"""
"""ijalpur""","""ijalpur"""
"""basavakalyan""","""basavakalyan"""
"""bidar""","""bidar"""
"""bulandshahr""","""bulandshahr"""
"""jhinjhak kanpur dehat""","""jhinjhak kanpur dehat"""
"""fatehgarh farrukhabad""","""fatehgarh farrukhabad"""
"""gursahaiganj""","""gursahaiganj"""
"""auariya""","""auariya"""
"""shravanabelagola""","""shravanabelagola"""
"""town bilgram""","""town bilgram"""
"""amethi""","""amethi"""
"""chickballapur""","""chickballapur"""
"""kora  jahanabad""","""kora  jahanabad"""
"""hubli""","""hubli"""
"""unchahar""","""unchahar"""
"""jais""","""jais"""
"""gola gokarannath""","""gola gokarannath"""
"""pihani""","""pihani"""
"""sullia""","""sullia"""
"""sandila""","""sandila"""
"""nighasan""","""nighasan"""
"""lakhana etawah""","""lakhana etawah"""
"""bamgalore""","""bamgalore"""
"""bhalki""","""bhalki"""
"""dist fatehpur""","""dist fatehpur"""
"""ghatampur""","""ghatampur"""
"""kananuj""","""kananuj"""
"""bhogni pur""","""bhogni pur"""
"""sumerpur""","""sumerpur"""
"""fatehgarh""","""fatehgarh"""
"""chitradurga""","""chitradurga"""
"""rura""","""rura"""
"""tirwa""","""tirwa"""
"""jaswantnagar""","""jaswantnagar"""
"""rai bareily""","""rai bareily"""
"""vill terwa kulli""","""vill terwa kulli"""
"""raibareily""","""raibareily"""
"""unjha""","""unjha"""
"""lucknow""","""lucknow"""
"""kushalanagar""","""kushalanagar"""
"""doddaballapur taluk""","""doddaballapur taluk"""
"""mandya""","""mandya"""
"""gulbarga""","""gulbarga"""
"""haliyal""","""haliyal"""
"""agra""","""agra"""
"""hilsa""","""hilsa"""
"""moodbidri""","""moodbidri"""
"""tekari""","""tekari"""
"""patna""","""patna"""
"""harnaut""","""harnaut"""
"""biharsharif""","""biharsharif"""
"""bihar sharif""","""bihar sharif"""
"""aurangabad""","""aurangabad"""
"""barh""","""barh"""
"""chikmagalur""","""chikmagalur"""
"""jehanabad""","""jehanabad"""
"""bellary hospet road""","""bellary hospet road"""
"""gaya""","""gaya"""
"""chandi""","""chandi"""
"""nalanda""","""nalanda"""
"""chamarajanagar""","""chamarajanagar"""
"""nawada""","""nawada"""
"""bihta""","""bihta"""
"""channapatna""","""channapatna"""
"""kaler""","""kaler"""
"""hassan""","""hassan"""
"""naubatpur""","""naubatpur"""
"""chohtan""","""chohtan"""
"""ajmer""","""ajmer"""
"""pushkar""","""pushkar"""
"""borawar""","""borawar"""
"""didwana""","""didwana"""
"""kishangarh""","""kishangarh"""
"""bhilwara""","""bhilwara"""
"""kuchaman city""","""kuchaman city"""
"""pali""","""pali"""
"""nawa city""","""nawa city"""
"""nawa""","""nawa"""
"""dooni""","""dooni"""
"""pipar city""","""pipar city"""
"""newai""","""newai"""
"""phalodi""","""phalodi"""
"""deedwana""","""deedwana"""
"""jaitaran""","""jaitaran"""
"""merta city""","""merta city"""
"""barmer""","""barmer"""
