,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
73,73,"Anantha College of Law, Tirupati",Tirupati,Andhra Pradesh,LLB Hons,3 years,Full time,60.0,UG,0.46 lakhs,(BCI) Bar Council of India,The candidate should have passed in the relevant graduate degree from any recognized university.,"Bachelor of Laws Honours is full time three year course degree offered by Sri Venkateswara University, Tirupati and approved by Bar Council of India."
74,74,"Anantha College of Law, Tirupati",Tirupati,Andhra Pradesh,LLM,2 years,Full time,,PG,,(BCI) Bar Council of India,The candidate should have passed in LLB from any recognized university.,"Master of Law is a full time two year course degree offered by Sri Venkateswara University, Tirupati and approved by Bar Council of India."
75,75,"Bihar Institute of Law, Patna",Patna,Bihar,LLB,3 years,Full time,180.0,UG,0.46 lakhs,(BCI) Bar Council of India,"Admission to LL.B. Part-I shall be open to candidates, having Bachelor's degree in Arts, Science, Commerce, Engineering or any other discipline from a recongnised University or possessiong such academic qualification as is considered equivalent to a Bachelor's degree by any recognised University with at least 45 % marks. Appearing candidates in final year Bachelors Examination arc also eligible to apply for the Entrance test subject to the condition that their examination results of Bachelors Degree must be declared before the date of admission to LL.B. Part-I","The university is conducting Bachelor of Law Entrance Test for admission to LL.B. (Three year Degree course), herein after called BILAT, for the session 2015-16. The admission shall be made strictly according to the merit list prepared on the basis of said Entrance Test, subject to fulfilling of eligibility requirements mentioned below and the general laws of the university concerning"
76,76,"Bihar Institute of Law, Patna",Patna,Bihar,LLB Integrated,5 years,Full time,,UG,1 lakh,(BCI) Bar Council of India,The candidate should have passed 10+2 in relevant stream from recognized board.,"Bachelor of Laws Integrated is full time five year course degree offered by Magadh University, Bodh Gaya and approved by Bar Council of India."
77,77,"Bonnie Foi College, Bhopal",Bhopal,Madhya Pradesh,LLM,2 years,Full time,,PG,,(BCI) Bar Council of India,The candidate should have passed in LLB from any recognized university.,"Master in Law is full time two year course degree offered by Barkatullah University, Bhopal and approved by BCI."
78,78,"Chaudhary Mahadeo Prasad Degree College, Allahabad",Allahabad,Uttar Pradesh,LLB,3 years,Full time,493.0,UG,,(BCI) Bar Council of India,Graduation from any Recognized University with relevant subjects.,Bachelor of Law is a three-year full-time course affiliated to University of Allahabad approved by BCI and UGC
79,79,"Government Kaktiya PG College, Jagdalpur",Jagdalpur,Chhattisgarh,LLB,3 years,Full time,,UG,,(BCI) Bar Council of India,Graduation from any Recognized University with relevant subjects.,Bachelor of Legislative Laws is a three-year UG course Approved by UGC.
80,80,"Lala Ami Chand Monga Memorial College of Law, Ambala",Padlu,Haryana,BA LLB Integrated,5 years,Full time,120.0,UG,2.2 lakhs,(BCI) Bar Council of India,The candidate should have passed in 12th with 45% marks for general / 42.75% for SC/ST,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law affiliated with Kurukshetra University, Kurukshetra with the approval of Bar Council of India."
81,81,"Lala Ami Chand Monga Memorial College of Law, Ambala",Padlu,Haryana,LLB,3 years,Full time,120.0,UG,1.32 lakhs,(BCI) Bar Council of India,The candidate should have passed in Graduation / Postgraduation with 45% marks for general/ 42.75% for SC/ST,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program affiliated with Kurukshetra University, Kurukshetra and approved by Bar Council of India. "
82,82,"Madhav Vidhi Mahavidhyalaya, Gwalior",Gwalior,Madhya Pradesh,BA LLB Integrated,5 years,Full time,120.0,UG,,(BCI) Bar Council of India,The candidate should have passed 10+2 from a recognized board.,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law affiliated with Jiwaji University, Gwalior with the approval of Bar Council of India."
83,83,"Madhav Vidhi Mahavidhyalaya, Gwalior",Gwalior,Madhya Pradesh,LLB,3 years,Full time,120.0,UG,,(BCI) Bar Council of India,The candidate should have passed any Graduate or equivalent degree from any recognized College or University. ,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program affiliated with Jiwaji University, Gwalior and approved by Bar Council of India. "
84,84,"Madhav Vidhi Mahavidhyalaya, Gwalior",Gwalior,Madhya Pradesh,LLM,2 years,Full time,,PG,,UGC,The candidate should have LLB degree (Law Graduate) from any recognized College or University. ,"Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program affiliated with Jiwaji University, Gwalior and approved by UGC."
85,85,"Madhusudan Law College, Cuttack",Cuttack,Odisha,BA LLB Hons,5 years,Full time,50.0,UG,,(BCI) Bar Council of India,A candidate for admission to this course shall have passed the PUC / 10+2 years of schooling recognized by the educational authorities of the central or state government or possess such academic qualifications which are considered equivalent to such 10+2 courses by the Bar Council of India.,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Honors programme in Law affiliated with Utkal University, Bhubaneswar with the approval of Bar Council of India. "
86,86,"Madhusudan Law College, Cuttack",Cuttack,Odisha,LLB,3 years,Full time,240.0,UG,,(BCI) Bar Council of India,The candidate should have passed any Graduate or equivalent degree from any recognized College or University. ,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program affiliated with Utkal University, Bhubaneswar and approved by Bar Council of India"
87,87,"Nanak Chand Anglo Sanskrit College, Meerut",Meerut,Uttar Pradesh,LLB,3 years,Full time,,UG,0.037 lakhs,UGC,The candidate should have passed any Graduate or equivalent degree from any recognized College or University. ,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program affiliated with Chaudhary Charan Singh University, Meerut and approved by Bar Council of India."
