,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
14,14,"Bilaspur Vishwavidyalaya, Bilaspur",Bilaspur,Chhattisgarh,Bachelor In Hotel Management BHM and Applications,3 years,Full time,30.0,UG,0.45 lakhs,UGC,,
15,15,"Maharashtra State Institute of Hotel Management and Catering Technology, Pune",Pune,Maharashtra,BHMCT,4 years,Full time,60.0,UG,1.84 lakhs,(AICTE) All India Council of Technical Education,Candidate should have passed the H.S.C. (Std XII) examination of Maharashtra State Board of Secondary & Higher Secondary Education or its equivalent examination in Science/Home Science Commerce/Arts/MCVC with English as one of the subject and secured minimum 45% marks in aggregate (40% marks in aggregate for reserved class category candidates belonging to Maharashtra State only). Candidate should have appeared for MAH/HM/CET securing a non-zero score. The said CETis conducted by the Directorate of Technical Education,Bachelor of Hotel Management And Catering Technology is full time four year course
16,16,"Maharashtra State Institute of Hotel Management and Catering Technology, Pune",Pune,Maharashtra,MHMCT,2 years,Full time,24.0,PG,,(AICTE) All India Council of Technical Education,"4 years degree in HMCT OR 3 yrs Diploma in HMCT with a degreefrom any faculty & 2 years experience in the relevant Industry / Teaching OR 3years degree in HMCT / BSc-HS with 2 years relevant Industry experience /teaching Relevant industrial work experience in a hotel having minimum 3 facilities or other hospitality sectors namely cruise liners, air-lines, industrial catering, facilitymanagement, fast food chains of National / International repute. Candidate should have appeared for Entrance Test securing a non-zero score, conducted by the Competent Authority appointed by Government of Maharashtra in the State of Maharashtra.",Master In Hotel Management And Catering Technology is two years full time course
17,17,"Indian Institute of Learning and Advanced Development, Gurgaon",Gurgaon,Haryana,MBA International Hotel Management,2 years,Full time,25.0,PG,6 lakhs,UGC,"Bachelor's Degree or equivalent in any discipline, with a confident personality and good communication skills.","The International Hotel Management Program is designed for students seeking an exciting career in the field of Hospitality. The program provides the students with a thorough knowledge of the hospitality and tourism industry as well as its best practices, coupled with a rigorous industry experience through International Internships across the world. The industry orient...See More"
18,18,"Indian Institute of Learning and Advanced Development, Gurgaon",Gurgaon,Haryana,PGDM International Hotel Management,1 year,Full time,25.0,PG,3.5 lakhs,,"Bachelor's Degree or equivalent in any discipline, with a confident personality and good communication skills.","The International Hotel Management Program is designed for students seeking an exciting career in the field of Hospitality. The program provides the students with a thorough knowledge of the hospitality and tourism industry as well as its best practices, coupled with a rigorous industry experience through International Internships across the world. The industry orient...See More"
19,19,"Indian Institute of Learning and Advanced Development, Gurgaon",Gurgaon,Haryana,PGP International Hotel Management,1 year,Full time,25.0,PG,3 lakhs,,"Bachelor's Degree or equivalent in any discipline, with a confident personality and good communication skills.","The International Hotel Management Program is designed for students seeking an exciting career in the field of Hospitality. The program provides the students with a thorough knowledge of the hospitality and tourism industry as well as its best practices, coupled with a rigorous industry experience through International Internships across the world. The industry orient...See More"
20,20,"State Institute of Hotel Management Catering Technology, Tirupati",Tirupati,Andhra Pradesh,Diploma in Bakery and Confectionery,1.5 years,Full time,,Diploma,,NCHMCT,"Eligibility: The candidate should have passed Intermediate or its equivalent.
Age Limit: 25 Years.","Diploma in Food Production is 1 Year duration with 6 Months Training full-time course. This course aim is equipping trainees with knowledge, attitude and skill for fundamentals of cooking and serving for effective discharge of duties & responsibilities while working in hotels / restaurants / other hospitality establishments."
21,21,"Himalayan Institute of Management and Technology, New Delhi",New Delhi,Delhi,BHM,3 years,Full time,,UG,4.79 lakhs,,The candidate should have passed in 10+2 related stream.,BHM is a three year full time course.
22,22,"MS Ramaiah College of Hotel Management, Bangalore",Bengaluru,Karnataka,BHM,4 years,Full time,150.0,UG,6 lakhs,UGC,A pass in any discipline at the plus 2 level,"Bachelor of Hotel Management is four-years full-time course Affiliated By M.S.Ramaiah University of Applied Sciences, Bengaluru."
23,23,"MS Ramaiah College of Hotel Management, Bangalore",Bengaluru,Karnataka,MBA Hospitality Management,2 years,Full time,30.0,PG,3.43 lakhs,UGC,Average of at least 50% aggregate in 4 year B.H.M. or 3 year Degree in Hotel Management/ Hospitality Management/ Catering Technology with one year relevant work experience,"MBA in Hospitality Management is a two years in full time course affiliated by M.S.Ramaiah University of Applied Sciences.
Masters degree programme of MSRUAS is designed to impart high-order overview in the chosen subject area.
The postgraduates are expected to find opportunities in hospitality and tourism industry and even may take up entrepreneurship. With experie...See More"
